"RequirementId","LineOfSightId","Protocol","Port","Service","Purpose","Direction","Required","Status","Notes"
"PORT-LOS-SITE-BRANCH-EAST-SITE-HQ-01","LOS-SITE-BRANCH-EAST-SITE-HQ","TCP","53","DNS","DNS queries and large DNS responses where TCP is required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-EAST-SITE-HQ-02","LOS-SITE-BRANCH-EAST-SITE-HQ","UDP","53","DNS","Standard DNS queries.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-EAST-SITE-HQ-03","LOS-SITE-BRANCH-EAST-SITE-HQ","TCP","88","Kerberos","Kerberos authentication.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-EAST-SITE-HQ-04","LOS-SITE-BRANCH-EAST-SITE-HQ","UDP","88","Kerberos","Kerberos authentication.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-EAST-SITE-HQ-05","LOS-SITE-BRANCH-EAST-SITE-HQ","UDP","123","NTP","Time synchronization required for Kerberos clock-skew tolerance.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-EAST-SITE-HQ-06","LOS-SITE-BRANCH-EAST-SITE-HQ","TCP","135","RPC Endpoint Mapper","RPC endpoint discovery.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-EAST-SITE-HQ-07","LOS-SITE-BRANCH-EAST-SITE-HQ","TCP","389","LDAP","Directory lookup and LDAP operations.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-EAST-SITE-HQ-08","LOS-SITE-BRANCH-EAST-SITE-HQ","UDP","389","LDAP","LDAP locator and related operations where required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-EAST-SITE-HQ-09","LOS-SITE-BRANCH-EAST-SITE-HQ","TCP","445","SMB","SYSVOL, NETLOGON, and file-based domain services where required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-EAST-SITE-HQ-10","LOS-SITE-BRANCH-EAST-SITE-HQ","TCP","464","Kerberos Password Change","Kerberos password change.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-EAST-SITE-HQ-11","LOS-SITE-BRANCH-EAST-SITE-HQ","UDP","464","Kerberos Password Change","Kerberos password change.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-EAST-SITE-HQ-12","LOS-SITE-BRANCH-EAST-SITE-HQ","TCP","636","LDAPS","Secure LDAP where used.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-EAST-SITE-HQ-13","LOS-SITE-BRANCH-EAST-SITE-HQ","TCP","3268","Global Catalog","Global Catalog LDAP.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-EAST-SITE-HQ-14","LOS-SITE-BRANCH-EAST-SITE-HQ","TCP","3269","Global Catalog SSL","Secure Global Catalog LDAP.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-EAST-SITE-HQ-15","LOS-SITE-BRANCH-EAST-SITE-HQ","TCP","9389","AD Web Services","ADWS access for AD PowerShell discovery and management tooling where required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-EAST-SITE-HQ-16","LOS-SITE-BRANCH-EAST-SITE-HQ","TCP","49152-65535","Dynamic RPC","Modern Windows dynamic RPC range, configurable.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-DR-SITE-01","LOS-SITE-BRANCH-WEST-SITE-DR-SITE","TCP","53","DNS","DNS queries and large DNS responses where TCP is required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-DR-SITE-02","LOS-SITE-BRANCH-WEST-SITE-DR-SITE","UDP","53","DNS","Standard DNS queries.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-DR-SITE-03","LOS-SITE-BRANCH-WEST-SITE-DR-SITE","TCP","88","Kerberos","Kerberos authentication.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-DR-SITE-04","LOS-SITE-BRANCH-WEST-SITE-DR-SITE","UDP","88","Kerberos","Kerberos authentication.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-DR-SITE-05","LOS-SITE-BRANCH-WEST-SITE-DR-SITE","UDP","123","NTP","Time synchronization required for Kerberos clock-skew tolerance.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-DR-SITE-06","LOS-SITE-BRANCH-WEST-SITE-DR-SITE","TCP","135","RPC Endpoint Mapper","RPC endpoint discovery.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-DR-SITE-07","LOS-SITE-BRANCH-WEST-SITE-DR-SITE","TCP","389","LDAP","Directory lookup and LDAP operations.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-DR-SITE-08","LOS-SITE-BRANCH-WEST-SITE-DR-SITE","UDP","389","LDAP","LDAP locator and related operations where required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-DR-SITE-09","LOS-SITE-BRANCH-WEST-SITE-DR-SITE","TCP","445","SMB","SYSVOL, NETLOGON, and file-based domain services where required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-DR-SITE-10","LOS-SITE-BRANCH-WEST-SITE-DR-SITE","TCP","464","Kerberos Password Change","Kerberos password change.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-DR-SITE-11","LOS-SITE-BRANCH-WEST-SITE-DR-SITE","UDP","464","Kerberos Password Change","Kerberos password change.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-DR-SITE-12","LOS-SITE-BRANCH-WEST-SITE-DR-SITE","TCP","636","LDAPS","Secure LDAP where used.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-DR-SITE-13","LOS-SITE-BRANCH-WEST-SITE-DR-SITE","TCP","3268","Global Catalog","Global Catalog LDAP.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-DR-SITE-14","LOS-SITE-BRANCH-WEST-SITE-DR-SITE","TCP","3269","Global Catalog SSL","Secure Global Catalog LDAP.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-DR-SITE-15","LOS-SITE-BRANCH-WEST-SITE-DR-SITE","TCP","9389","AD Web Services","ADWS access for AD PowerShell discovery and management tooling where required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-DR-SITE-16","LOS-SITE-BRANCH-WEST-SITE-DR-SITE","TCP","49152-65535","Dynamic RPC","Modern Windows dynamic RPC range, configurable.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-HQ-01","LOS-SITE-BRANCH-WEST-SITE-HQ","TCP","53","DNS","DNS queries and large DNS responses where TCP is required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-HQ-02","LOS-SITE-BRANCH-WEST-SITE-HQ","UDP","53","DNS","Standard DNS queries.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-HQ-03","LOS-SITE-BRANCH-WEST-SITE-HQ","TCP","88","Kerberos","Kerberos authentication.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-HQ-04","LOS-SITE-BRANCH-WEST-SITE-HQ","UDP","88","Kerberos","Kerberos authentication.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-HQ-05","LOS-SITE-BRANCH-WEST-SITE-HQ","UDP","123","NTP","Time synchronization required for Kerberos clock-skew tolerance.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-HQ-06","LOS-SITE-BRANCH-WEST-SITE-HQ","TCP","135","RPC Endpoint Mapper","RPC endpoint discovery.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-HQ-07","LOS-SITE-BRANCH-WEST-SITE-HQ","TCP","389","LDAP","Directory lookup and LDAP operations.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-HQ-08","LOS-SITE-BRANCH-WEST-SITE-HQ","UDP","389","LDAP","LDAP locator and related operations where required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-HQ-09","LOS-SITE-BRANCH-WEST-SITE-HQ","TCP","445","SMB","SYSVOL, NETLOGON, and file-based domain services where required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-HQ-10","LOS-SITE-BRANCH-WEST-SITE-HQ","TCP","464","Kerberos Password Change","Kerberos password change.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-HQ-11","LOS-SITE-BRANCH-WEST-SITE-HQ","UDP","464","Kerberos Password Change","Kerberos password change.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-HQ-12","LOS-SITE-BRANCH-WEST-SITE-HQ","TCP","636","LDAPS","Secure LDAP where used.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-HQ-13","LOS-SITE-BRANCH-WEST-SITE-HQ","TCP","3268","Global Catalog","Global Catalog LDAP.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-HQ-14","LOS-SITE-BRANCH-WEST-SITE-HQ","TCP","3269","Global Catalog SSL","Secure Global Catalog LDAP.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-HQ-15","LOS-SITE-BRANCH-WEST-SITE-HQ","TCP","9389","AD Web Services","ADWS access for AD PowerShell discovery and management tooling where required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-BRANCH-WEST-SITE-HQ-16","LOS-SITE-BRANCH-WEST-SITE-HQ","TCP","49152-65535","Dynamic RPC","Modern Windows dynamic RPC range, configurable.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-CLOUD-EDGE-SITE-DR-SITE-01","LOS-SITE-CLOUD-EDGE-SITE-DR-SITE","TCP","53","DNS","DNS queries and large DNS responses where TCP is required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-CLOUD-EDGE-SITE-DR-SITE-02","LOS-SITE-CLOUD-EDGE-SITE-DR-SITE","UDP","53","DNS","Standard DNS queries.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-CLOUD-EDGE-SITE-DR-SITE-03","LOS-SITE-CLOUD-EDGE-SITE-DR-SITE","TCP","88","Kerberos","Kerberos authentication.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-CLOUD-EDGE-SITE-DR-SITE-04","LOS-SITE-CLOUD-EDGE-SITE-DR-SITE","UDP","88","Kerberos","Kerberos authentication.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-CLOUD-EDGE-SITE-DR-SITE-05","LOS-SITE-CLOUD-EDGE-SITE-DR-SITE","UDP","123","NTP","Time synchronization required for Kerberos clock-skew tolerance.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-CLOUD-EDGE-SITE-DR-SITE-06","LOS-SITE-CLOUD-EDGE-SITE-DR-SITE","TCP","135","RPC Endpoint Mapper","RPC endpoint discovery.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-CLOUD-EDGE-SITE-DR-SITE-07","LOS-SITE-CLOUD-EDGE-SITE-DR-SITE","TCP","389","LDAP","Directory lookup and LDAP operations.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-CLOUD-EDGE-SITE-DR-SITE-08","LOS-SITE-CLOUD-EDGE-SITE-DR-SITE","UDP","389","LDAP","LDAP locator and related operations where required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-CLOUD-EDGE-SITE-DR-SITE-09","LOS-SITE-CLOUD-EDGE-SITE-DR-SITE","TCP","445","SMB","SYSVOL, NETLOGON, and file-based domain services where required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-CLOUD-EDGE-SITE-DR-SITE-10","LOS-SITE-CLOUD-EDGE-SITE-DR-SITE","TCP","464","Kerberos Password Change","Kerberos password change.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-CLOUD-EDGE-SITE-DR-SITE-11","LOS-SITE-CLOUD-EDGE-SITE-DR-SITE","UDP","464","Kerberos Password Change","Kerberos password change.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-CLOUD-EDGE-SITE-DR-SITE-12","LOS-SITE-CLOUD-EDGE-SITE-DR-SITE","TCP","636","LDAPS","Secure LDAP where used.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-CLOUD-EDGE-SITE-DR-SITE-13","LOS-SITE-CLOUD-EDGE-SITE-DR-SITE","TCP","3268","Global Catalog","Global Catalog LDAP.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-CLOUD-EDGE-SITE-DR-SITE-14","LOS-SITE-CLOUD-EDGE-SITE-DR-SITE","TCP","3269","Global Catalog SSL","Secure Global Catalog LDAP.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-CLOUD-EDGE-SITE-DR-SITE-15","LOS-SITE-CLOUD-EDGE-SITE-DR-SITE","TCP","9389","AD Web Services","ADWS access for AD PowerShell discovery and management tooling where required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-CLOUD-EDGE-SITE-DR-SITE-16","LOS-SITE-CLOUD-EDGE-SITE-DR-SITE","TCP","49152-65535","Dynamic RPC","Modern Windows dynamic RPC range, configurable.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-DR-SITE-SITE-HQ-01","LOS-SITE-DR-SITE-SITE-HQ","TCP","53","DNS","DNS queries and large DNS responses where TCP is required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-DR-SITE-SITE-HQ-02","LOS-SITE-DR-SITE-SITE-HQ","UDP","53","DNS","Standard DNS queries.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-DR-SITE-SITE-HQ-03","LOS-SITE-DR-SITE-SITE-HQ","TCP","88","Kerberos","Kerberos authentication.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-DR-SITE-SITE-HQ-04","LOS-SITE-DR-SITE-SITE-HQ","UDP","88","Kerberos","Kerberos authentication.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-DR-SITE-SITE-HQ-05","LOS-SITE-DR-SITE-SITE-HQ","UDP","123","NTP","Time synchronization required for Kerberos clock-skew tolerance.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-DR-SITE-SITE-HQ-06","LOS-SITE-DR-SITE-SITE-HQ","TCP","135","RPC Endpoint Mapper","RPC endpoint discovery.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-DR-SITE-SITE-HQ-07","LOS-SITE-DR-SITE-SITE-HQ","TCP","389","LDAP","Directory lookup and LDAP operations.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-DR-SITE-SITE-HQ-08","LOS-SITE-DR-SITE-SITE-HQ","UDP","389","LDAP","LDAP locator and related operations where required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-DR-SITE-SITE-HQ-09","LOS-SITE-DR-SITE-SITE-HQ","TCP","445","SMB","SYSVOL, NETLOGON, and file-based domain services where required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-DR-SITE-SITE-HQ-10","LOS-SITE-DR-SITE-SITE-HQ","TCP","464","Kerberos Password Change","Kerberos password change.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-DR-SITE-SITE-HQ-11","LOS-SITE-DR-SITE-SITE-HQ","UDP","464","Kerberos Password Change","Kerberos password change.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-DR-SITE-SITE-HQ-12","LOS-SITE-DR-SITE-SITE-HQ","TCP","636","LDAPS","Secure LDAP where used.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-DR-SITE-SITE-HQ-13","LOS-SITE-DR-SITE-SITE-HQ","TCP","3268","Global Catalog","Global Catalog LDAP.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-DR-SITE-SITE-HQ-14","LOS-SITE-DR-SITE-SITE-HQ","TCP","3269","Global Catalog SSL","Secure Global Catalog LDAP.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-DR-SITE-SITE-HQ-15","LOS-SITE-DR-SITE-SITE-HQ","TCP","9389","AD Web Services","ADWS access for AD PowerShell discovery and management tooling where required.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
"PORT-LOS-SITE-DR-SITE-SITE-HQ-16","LOS-SITE-DR-SITE-SITE-HQ","TCP","49152-65535","Dynamic RPC","Modern Windows dynamic RPC range, configurable.","Bidirectional","Review","ReviewRequired","Firewall review starting point. Validate actual required scope before implementing."
